"Supplementary Table S1. List of localities, coordinates and average frequencies at autosomal (HIAA), X-linked (HIX), Y-linked and mtDNA loci.",,,,,,,,,,
Loc#,Locality,State,Latitude,Longitude,HIAA,HIX,Y,mtDNA,Morp,Source
205,Liba 2,Czechia,"50° 7' 36""","12° 14' 2""",0.130,0.040,1.000,0.860,,Macholán et al. 2008
206,Libnov,Czechia,"50° 13' 45""","12° 31' 48""",0.930,1.000,1.000,1.000,,Macholán et al. 2008
207,Lipoltov,Czechia,"50° 5' 20""","12° 30' 15""",0.860,1.000,1.000,0.000,,Macholán et al. 2008
208,Lomnice,Czechia,"50° 13' 0""","12° 37' 26""",0.810,1.000,1.000,1.000,,Macholán et al. 2008
209,Luby,Czechia,"50° 15' 0""","12° 24' 12""",0.170,0.000,1.000,0.000,,Macholán et al. 2008
210,Luzna,Czechia,"50° 7' 8""","12° 18' 14""",0.220,0.050,1.000,0.070,,Macholán et al. 2008
211,Meierhof (Weissenstadt),Germany,"50° 4' 15""","11° 54' 30""",0.000,0.000,,0.000,,Macholán et al. 2008
212,Milhostov1,Czechia,"50° 9' 17""","12° 26' 45""",0.690,0.790,0.870,0.030,,Macholán et al. 2008
213,Mlynek 1,Czechia,"50° 11' 28""","12° 27' 2""",0.330,0.570,1.000,0.000,,Macholán et al. 2008
214,Mlynek 2,Czechia,"50° 11' 27""","12° 26' 48""",0.150,0.000,1.000,1.000,,Macholán et al. 2008
215,Mostov 26,Czechia,"50° 6' 53""","12° 29' 28""",0.880,0.980,1.000,0.950,,Macholán et al. 2008
216,Muenchberg,Germany,"50° 11' 24""","11° 47' 21""",0.030,0.000,0.000,0.000,,Macholán et al. 2008
217,Novy Drahov,Czechia,"50° 8' 20""","12° 23' 24""",0.140,0.000,1.000,0.440,,Macholán et al. 2008
218,Nebanice 1,Czechia,"50° 7' 7""","12° 28' 13""",0.620,0.780,1.000,0.500,,Macholán et al. 2008
219,Nebanice 2,Czechia,"50° 6' 53""","12° 28' 28""",0.810,1.000,1.000,1.000,,Macholán et al. 2008
220,Nebanice 3,Czechia,"50° 6' 52""","12° 28' 13""",0.820,0.960,1.000,1.000,,Macholán et al. 2008
221,Neuenreuth8,Germany,"50° 5' 16""","12° 8' 4""",0.100,0.010,0.930,0.080,,Macholán et al. 2008
222,Neuenreuth,Germany,"50° 5' 17""","12° 7' 43""",0.070,0.040,0.970,0.000,,Macholán et al. 2008
223,Novy Kostel,Czechia,"50° 13' 6""","12° 26' 9""",0.060,0.000,0.000,0.630,,Macholán et al. 2008
224,Nova Role,Czechia,"50° 16' 23""","12° 47' 44""",0.790,1.000,1.000,1.000,,Macholán et al. 2008
225,Nova Ves (Cheb),Czechia,"50° 10' 39""","12° 25' 14""",0.160,0.180,0.900,0.910,,Macholán et al. 2008
226,Nova Ves (SO) 1,Czechia,"50° 5' 7""","12° 46' 27""",0.990,1.000,1.000,1.000,,Macholán et al. 2008
227,Nova Ves (SO) 2,Czechia,"50° 5' 5""","12° 46' 29""",1.000,1.000,1.000,1.000,,Macholán et al. 2008
228,Nova Ves (SO) 3,Czechia,"50° 5' 6""","12° 46' 35""",0.980,0.960,1.000,1.000,,Macholán et al. 2008
229,Obilna1,Czechia,"50° 5' 42""","12° 28' 24""",0.910,0.980,1.000,0.970,,Macholán et al. 2008
230,Okrouhla,Czechia,"50° 3' 44""","12° 29' 21""",0.640,1.000,1.000,1.000,,Macholán et al. 2008
231,Osvinov,Czechia,"50° 21' 16""","13° 1' 49""",0.980,1.000,,1.000,,Macholán et al. 2008
232,Plesna,Czechia,"50° 13' 10""","12° 20' 23""",0.230,0.010,0.130,0.110,,Macholán et al. 2008
233,Ploesberg,Germany,"50° 11' 45""","12° 7' 21""",0.050,0.110,0.000,0.800,,Macholán et al. 2008
234,Pocerny 1,Czechia,"50° 14' 2""","12° 48' 24""",0.930,0.930,1.000,1.000,,Macholán et al. 2008
235,Pocerny 2,Czechia,"50° 14' 21""","12° 48' 24""",0.940,0.960,1.000,1.000,,Macholán et al. 2008
236,Polna,Czechia,"50° 9' 12""","12° 14' 45""",0.190,0.000,1.000,0.920,,Macholán et al. 2008
237,Poustka 1,Czechia,"50° 8' 45""","12° 17' 16""",0.260,0.090,1.000,0.880,,Macholán et al. 2008
238,Poustka 2,Czechia,"50° 8' 28""","12° 18' 2""",0.170,0.070,0.890,0.250,,Macholán et al. 2008
239,Podboransky Rohozec,Czechia,"50° 12' 50""","13° 15' 47""",0.990,1.000,1.000,1.000,,Macholán et al. 2008
240,Radvanov,Czechia,"50° 12' 5""","12° 34' 39""",1.000,1.000,1.000,1.000,,Macholán et al. 2008
241,Roeslau,Germany,"50° 4' 54""","11° 59' 20""",0.000,0.000,0.000,0.000,,Macholán et al. 2008
242,Rudolec 1,Czechia,"50° 7' 57""","12° 36' 55""",0.890,1.000,0.500,1.000,,Macholán et al. 2008
243,Rudolec 2,Czechia,"50° 7' 52""","12° 37' 4""",0.960,1.000,0.860,0.980,,Macholán et al. 2008
244,Rudolec 3,Czechia,"50° 8' 0""","12° 36' 43""",0.790,1.000,1.000,1.000,,Macholán et al. 2008
245,Sedlecko,Czechia,"50° 14' 12""","12° 57' 30""",0.980,1.000,1.000,1.000,,Macholán et al. 2008
246,Skalka (Hazlov),Czechia,"50° 10' 43""","12° 16' 4""",0.140,0.040,0.110,0.000,,Macholán et al. 2008
247,Skalka (Cheb),Czechia,"50° 5' 53""","12° 17' 4""",0.300,0.000,0.500,0.000,,Macholán et al. 2008
248,Smrciny,Czechia,"50° 15' 2""","12° 11' 3""",0.030,0.000,1.000,0.000,,Macholán et al. 2008
249,Spalena,Czechia,"50° 13' 8""","12° 25' 16""",0.000,0.000,0.000,0.000,,Macholán et al. 2008
250,Stary Rybnik,Czechia,"50° 9' 45""","12° 21' 15""",0.280,0.210,1.000,1.000,,Macholán et al. 2008
251,Stare Sedlo,Czechia,"50° 10' 28""","12° 42' 44""",0.990,1.000,1.000,1.000,,Macholán et al. 2008
252,Straz nad Ohri,Czechia,"50° 21' 14""","13° 2' 22""",1.000,1.000,1.000,1.000,,Macholán et al. 2008
253,Straas 1,Germany,"50° 10' 54""","11° 45' 57""",0.010,0.000,0.000,0.000,,Macholán et al. 2008
254,Straas 2,Germany,"50° 10' 53""","11° 45' 44""",0.010,0.010,0.000,0.010,,Macholán et al. 2008
255,Strizov,Czechia,"50° 5' 53""","12° 21' 27""",0.240,0.400,1.000,0.600,,Macholán et al. 2008
256,Stara Voda,Czechia,"49° 59' 42""","12° 35' 27""",1.000,1.000,1.000,1.000,,Macholán et al. 2008
257,Sucha,Czechia,"50° 10' 1""","12° 23' 32""",0.290,0.000,,0.000,,Macholán et al. 2008
258,Svatava,Czechia,"50° 11' 26""","12° 37' 43""",0.790,1.000,,1.000,,Macholán et al. 2008
259,Svaty Kriz,Czechia,"50° 3' 9""","12° 21' 17""",0.300,0.000,1.000,0.000,,Macholán et al. 2008
260,Telec,Czechia,"50° 7' 16""","13° 2' 59""",1.000,1.000,1.000,1.000,,Macholán et al. 2008
261,Tesetice,Czechia,"50° 9' 42""","13° 5' 15""",1.000,1.000,1.000,1.000,,Macholán et al. 2008
262,Thierstein,Germany,"50° 6' 29""","12° 6' 36""",0.090,0.000,0.600,0.000,,Macholán et al. 2008
263,Trojmezi,Czechia,"50° 18' 10""","12° 8' 41""",0.130,0.000,,0.000,,Macholán et al. 2008
264,Tyniste 1,Czechia,"50° 8' 54""","13° 10' 26""",0.940,1.000,1.000,,,Macholán et al. 2008
265,Tyniste 2,Czechia,"50° 8' 55""","13° 10' 24""",0.970,1.000,1.000,1.000,,Macholán et al. 2008
266,Unterweissenbach,Germany,"50° 9' 25""","12° 6' 12""",0.010,0.000,0.000,0.100,,Macholán et al. 2008
267,Vintirov,Czechia,"50° 14' 4""","12° 42' 55""",1.000,1.000,1.000,1.000,,Macholán et al. 2008
268,Vojtanov,Czechia,"50° 10' 3""","12° 19' 46""",0.290,0.000,,0.000,,Macholán et al. 2008
269,Vrbicka,Czechia,"50° 10' 40""","13° 17' 34""",1.000,1.000,1.000,,,Macholán et al. 2008
270,Weidessgruen 1,Germany,"50° 10' 1""","11° 39' 45""",0.010,0.000,0.000,,,Macholán et al. 2008
271,Weidessgruen 2,Germany,"50° 18' 3""","11° 44' 40""",0.000,0.000,0.000,0.000,,Macholán et al. 2008
272,Hiddensee Island,Germany,54° 32' ,13° 6' ,,,,,1.00,Zimmermann 1949
273,Hiddensee Island,Germany,54° 0' ,11° 26' ,,,,,1.00,Zimmermann 1949
274,Fehmarn Island,Germany,54° 26' ,11° 12' ,,,,,1.00,Zimmermann 1949
275,"Oldenburg, Holstein",Germany,54° 18' ,10° 53' ,,,,,1.00,Zimmermann 1949
276,Lichtenwalde,Germany,50° 53' ,13° 1' ,,,,,1.00,Zimmermann 1949
277,Parsberg/Oberpfalz,Germany,49° 10' ,11° 43' ,,,,,1.00,"Zimmermann 1949, Kraft 1985"
278,Amberg,Germany,49° 27' ,11° 51' ,,,,,1.00,Zimmermann 1949
279,Neumarkt,Germany,49° 17' ,11° 27' ,,,,,1.00,Zimmermann 1949
280,Burglengenfeld,Germany,49° 13' ,12° 2' ,,,,,1.00,Zimmermann 1949
281,Parsberg,Germany,49° 10' ,11° 43' ,,,,,1.00,Zimmermann 1949
282,Deggendorf,Germany,48° 50' ,12° 58' ,,,,,1.00,Zimmermann 1949
283,Frauenberg,Germany,48° 47' ,13° 46' ,,,,,1.00,Kraft 1985
284,Osterhofen,Germany,48° 42' ,13° 1' ,,,,,1.00,Zimmermann 1949
285,Dingolfing,Germany,48° 38' ,12° 29' ,,,,,1.00,Kraft 1985
286,Passau,Germany,48° 34' ,13° 27' ,,,,,1.00,Zimmermann 1949
287,Moosburg,Germany,48° 28' ,11° 56' ,,,,,1.00,Zimmermann 1949
288,Weisleithen,Germany,48° 20' ,13° 4' ,,,,,1.00,Kraft 1985
289,Erding,Germany,48° 18' ,11° 54' ,,,,,1.00,Zimmermann 1949
290,Altötting,Germany,48° 14' ,12° 41' ,,,,,1.00,"Zimmermann 1949, Kraft 1985"
291,München-Trudering,Germany,48° 7' ,11° 40' ,,,,,1.00,Zimmermann 1949
292,Assling,Germany,48° 0' ,12° 0' ,,,,,1.00,Zimmermann 1949
293,Maising b. Starnberg,Germany,49° 59' ,11° 17' ,,,,,1.00,Zimmermann 1949
294,Traunstein,Germany,47° 52' ,12° 39' ,,,,,1.00,Zimmermann 1949
295,"Langbalig, Flensburg",Germany,54° 48' ,9° 38' ,,,,,0.50,Zimmermann 1949
296,"Unewatt, Flensburg",Germany,54° 47' ,9° 39' ,,,,,0.50,Zimmermann 1949
297,near Schwerin,Germany,53° 38' ,11° 25' ,,,,,0.50,Zimmermann 1949
298,Melchow,Germany,52° 47' ,13° 42' ,,,,,0.50,Zimmermann 1949
299,"Saarmund, Nuthetal",Germany,52° 21' ,13° 6' ,,,,,0.50,Zimmermann 1949
300,Sulzbach,Germany,49° 30' ,11° 44' ,,,,,0.50,"Zimmermann 1949, Kraft 1985"
301,Regensburg,Germany,49° 0' ,12° 6' ,,,,,0.50,"Zimmermann 1949, Kraft 1985"
302,Erdinger Moos,Germany,48° 20' ,11° 48' ,,,,,0.50,Kraft 1985
303,München,Germany,48° 9' ,11° 26' ,,,,,0.50,Kraft 1985
304,Rimsting/Chiemsee,Germany,47° 53' ,12° 20' ,,,,,0.50,Kraft 1985
305,Sylt Island,Germany,54° 55' ,8° 18' ,,,,,0.00,Zimmermann 1949
306,"Ellerdorf, Nortorf",Germany,54° 12' ,9° 50' ,,,,,0.00,Zimmermann 1949
307,near Bremervörde,Germany,53° 29' ,9° 9' ,,,,,0.00,Zimmermann 1949
308,Lüneburg,Germany,53° 15' ,10° 25' ,,,,,0.00,Zimmermann 1949
309,Neu Kaliß,Germany,53° 10' ,11° 18' ,,,,,0.00,Zimmermann 1949
310,Bad Wilsnack,Germany,52° 57' ,11° 57' ,,,,,0.00,Zimmermann 1949
311,"Berlin, Buch",Germany,52° 38' ,13° 30' ,,,,,0.00,Zimmermann 1949
312,Posdam-Rehbrücke,Germany,52° 21' ,13° 6' ,,,,,0.00,Zimmermann 1949
313,near Treuenbrietzen,Germany,52° 5' ,12° 52' ,,,,,0.00,Zimmermann 1949
314,"Waldenburg, Saxony",Germany,51° 52',"12° 36' 30""",,,,,0.00,Zimmermann 1949
315,"Lettin, Halle",Germany,51° 31' ,11° 55' ,,,,,0.00,Zimmermann 1949
316,Wülfershausen/Saale,Germany,50° 20' ,10° 21' ,,,,,0.00,Kraft 1985
317,Breitenbrunn b. Wunsiedel,Germany,50° 1' ,11° 59' ,,,,,0.00,Kraft 1985
318,Pottenstein,Germany,49° 46' ,11° 25' ,,,,,0.00,Zimmermann 1949
319,Kleinlangheim,Germany,49° 46' ,10° 17' ,,,,,0.00,Kraft 1985
320,Heroldsbach,Germany,49° 41' ,11° 0' ,,,,,0.00,Kraft 1985
321,Grossmehring,Germany,48° 46' ,11° 32' ,,,,,0.00,Kraft 1985
322,Oberwöhr,Germany,48° 46' ,11° 39' ,,,,,0.00,Kraft 1985
323,Reichertshofen,Germany,48° 40' ,11° 28' ,,,,,0.00,Kraft 1985
324,Pfaffenhofen,Germany,48° 32' ,11° 30' ,,,,,0.00,Kraft 1985
325,Augsburg,Germany,48° 21' ,10° 55' ,,,,,0.00,Kraft 1985
326,Dachau,Germany,48° 15' ,11° 26' ,,,,,0.00,Kraft 1985
327,Planegg,Germany,48° 6' ,11° 25' ,,,,,0.00,Zimmermann 1949
328,Wangen/ Obb.,Germany,48° 1' ,11° 24' ,,,,,0.00,Kraft 1985
329,Allgäu,Germany,47° 49' ,11° 41' ,,,,,0.00,Zimmermann 1949
330,Staltach b. Iffeldorf,Germany,47° 47' ,11° 19' ,,,,,0.00,Kraft 1985
331,Schlehdorf/Kochelsee,Germany,47° 39' ,11° 19' ,,,,,0.00,Kraft 1985
332,Kloster Ettal,Germany,47° 34' ,11° 6' ,,,,,0.00,Kraft 1985
