"Mouse_ID","delta_ct_MminusE","delta_ct_ilwe_MminusE","delta_ct_cewe_MminusE","qPCRsummary","qPCRstatus","observer","year"
"AA_0430",-3.75,-11.51,-7.96,"non infected","negative","Lorenzo",2017
"AA_0431",-3.75,-8.47,-4.985,"non infected","negative","Lorenzo",2017
"AA_0432",-3.68,-8.91,-3.68,"infected cecum","positive","Lorenzo",2017
"AA_0434",-3.75,-7.3,-4.935,"non infected","negative","Lorenzo",2017
"AA_0435",-3.75,-11.53,-5.37,"non infected","negative","Lorenzo",2017
"AA_0436",-1.175,-2.64,-1.175,"cecum stronger","positive","Lorenzo",2017
"AA_0437",-3.75,-12.08,-12.24,"non infected","negative","Lorenzo",2017
"AA_0438",-3.75,-13.41,-10.39,"non infected","negative","Lorenzo",2017
"AA_0439",-3.75,-11.89,NA,"non infected ileum [cecum.NA]","positive","Lorenzo",2017
"AA_0440",3.75,-12.61,3.75,"infected cecum","positive","Lorenzo",2017
"AA_0441",3.75,3.75,-5.68,"infected ileum","positive","Lorenzo",2017
"AA_0442",-3.75,-12.59,-11.57,"non infected","negative","Lorenzo",2017
"AA_0443",-3.75,-11.89,-10.46,"non infected","negative","Lorenzo",2017
"AA_0444",-3.75,-15.55,-11.52,"non infected","negative","Lorenzo",2017
"AA_0445",-3.17,-12.69,-3.17,"infected cecum","positive","Lorenzo",2017
"AA_0446",-3.53,-10.6,-3.53,"infected cecum","positive","Lorenzo",2017
"AA_0447",-3.75,NA,-12.66,"non infected cecum [ileum.NA]","positive","Lorenzo",2017
"AA_0448",3.75,-12.94,3.75,"infected cecum","positive","Lorenzo",2017
"AA_0449",-3.75,-13.21,-14.24,"non infected","negative","Lorenzo",2017
"AA_0450",-3.75,-12.78,-10.92,"non infected","negative","Lorenzo",2017
"AA_0451",5.02,5.02,-12.11,"infected ileum","positive","Lorenzo",2017
"AA_0452",-3.22,-11.7,-3.22,"infected cecum","positive","Lorenzo",2017
"AA_0453",-3.75,-10.68,-11.85,"non infected","negative","Lorenzo",2017
"AA_0454",1.33,-10.64,1.33,"infected cecum","positive","Lorenzo",2017
"AA_0455",-3.75,-5.19,-7.88,"non infected","negative","Lorenzo",2017
"AA_0456",-3.75,-11.36,-8.83,"non infected","negative","Lorenzo",2017
"AA_0457",-3.75,-10.18,-12.03,"non infected","negative","Lorenzo",2017
"AA_0458",0.350000000000001,-8.82,0.350000000000001,"infected cecum","positive","Lorenzo",2017
"AA_0459",-3.75,-12.09,-12.02,"non infected","negative","Lorenzo",2017
"AA_0460",3.75,-10.3,3.75,"infected cecum","positive","Lorenzo",2017
"AA_0461",-3.75,-12.97,-11.04,"non infected","negative","Lorenzo",2017
"AA_0462",-3.75,-11.11,-10.12,"non infected","negative","Lorenzo",2017
"AA_0463",-3.75,-12.25,-12.52,"non infected","negative","Lorenzo",2017
"AA_0465",-2.84,-10.58,-2.84,"infected cecum","positive","Lorenzo",2017
"AA_0466",-3.75,-12.67,NA,"non infected ileum [cecum.NA]","positive","Lorenzo",2017
"AA_0467",-3.75,-12.92,-12.03,"non infected","negative","Lorenzo",2017
"AA_0468",-3.75,-12.5,NA,"non infected ileum [cecum.NA]","positive","Lorenzo",2017
"AA_0469",-3.75,-5.54,-5,"non infected","negative","Lorenzo",2017
"AA_0470",3.75,-11.54,3.75,"infected cecum","positive","Lorenzo",2017
"AA_0471",-3.75,-15.31,-11.02,"non infected","negative","Lorenzo",2017
"AA_0489",-3.75,-13.59,-10.04,"non infected","negative","Lorenzo",2017
"AA_0490",-3.75,-9.48,-10.34,"non infected","negative","Lorenzo",2017
"AA_0491",-3.75,-13.28,-13.08,"non infected","negative","Lorenzo",2017
"AA_0497",-0.18,-3.64,-0.18,"cecum stronger","positive","Lorenzo",2017
"AA_0498",-3.75,-12.03,-11.59,"non infected","negative","Lorenzo",2017
"AA_0499",-3.75,-13.42,-11.34,"non infected","negative","Lorenzo",2017
"AA_0506",-3.75,NA,-14.29,"non infected cecum [ileum.NA]","positive","Lorenzo",2017
"AA_0511",-3.75,-12.94,NA,"non infected ileum [cecum.NA]","positive","Lorenzo",2017
"AA_0512",-3.75,-11.58,NA,"non infected ileum [cecum.NA]","positive","Lorenzo",2017
"AA_0514",3.75,3.75,-15.5,"infected ileum","positive","Lorenzo",2017
"AA_0515",-3.75,-13.4,-13.43,"non infected","negative","Lorenzo",2017
"AA_0517",-3.75,-13.96,NA,"non infected ileum [cecum.NA]","positive","Lorenzo",2017
"AA_0518",-3.75,-11,NA,"non infected ileum [cecum.NA]","positive","Lorenzo",2017
"AA_0519",3.75,3.75,NA,"infected ileum [cecum.NA]","positive","Lorenzo",2017
"AA_0520",-3.75,-14.47,-13.11,"non infected","negative","Lorenzo",2017
"AA_0521",-3.75,-15.88,-11.95,"non infected","negative","Lorenzo",2017
"AA_0522",-3.75,-13.8,-10.68,"non infected","negative","Lorenzo",2017
"AA_0523",-3.75,-8.57,-6.8,"non infected","negative","Lorenzo",2017
"AA_0064",-2.13,-11.11,-2.13,"infected cecum","positive","Tabea",2016
"AA_0066",-2.58,-10.47,-2.58,"infected cecum","positive","Tabea",2016
"AA_0100",1.96,NA,1.96,"infected cecum [ileum.NA]","positive","Mert",2016
"AA_0139",2.6066666667,2.6066666667,-1.9033333333,"ileum stronger","positive","Mert",2016
"AA_0070",-3.57,-3.57,-3.94,"ileum stronger","positive","Tabea&Victor",2016
"AA_0088",-2.34,-5.42,-2.34,"cecum stronger","positive","Mert&Victor",2016
